date,funct_group,mean_cover,se_cover
2005,Hard coral,38.7,1.9
2005,Macroalgae,7.9,1
2006,Hard coral,36.6,2
2006,Macroalgae,4,0.5
2007,Hard coral,30.6,2.2
2007,Macroalgae,3.7,0.5
2008,Hard coral,14.5,1.7
2008,Macroalgae,10.6,0.9
2009,Hard coral,5.4,1
2009,Macroalgae,14.2,1
2010,Hard coral,1.8,0.6
2010,Macroalgae,11.5,2.1
2011,Hard coral,1,0.2
2011,Macroalgae,9.5,0.9
2012,Hard coral,3.9,0.3
2012,Macroalgae,13,1
2013,Hard coral,12.2,0.6
2013,Macroalgae,11.5,1
2014,Hard coral,26,1.1
2014,Macroalgae,6.2,0.7
2015,Hard coral,43.5,1.7
2015,Macroalgae,4.5,0.8
2016,Hard coral,54.8,2.1
2016,Macroalgae,6.7,1
2017,Hard coral,63.9,2
2017,Macroalgae,2.2,0.4
2018,Hard coral,70.4,1.9
2018,Macroalgae,1.9,0.3
2019,Hard coral,72.7,1.6
2019,Macroalgae,1.6,0.3
2020,Hard coral,16.2,1
2020,Macroalgae,25.7,1.5
2021,Hard coral,10.2,0.9
2021,Macroalgae,28.5,1.2
2022,Hard coral,6.7,0.7
2022,Macroalgae,27.9,1.2