date,site,location,funct_group,total_cover
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 1,Hard coral,26.6
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 2,Hard coral,40.4
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 3,Hard coral,53
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 4,Hard coral,57.2
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 5,Hard coral,37.5
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 6,Hard coral,54.9
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 7,Hard coral,23.4
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 8,Hard coral,58.3
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 1,Hard coral,33.3
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 2,Hard coral,41.099999999999994
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 3,Hard coral,39.8
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 4,Hard coral,68.4
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 5,Hard coral,82.7
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 6,Hard coral,24.8
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 7,Hard coral,45.8
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 8,Hard coral,0
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 1,Hard coral,38.2
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 2,Hard coral,30.5
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 3,Hard coral,56.599999999999994
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 4,Hard coral,62.9
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 5,Hard coral,59.2
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 6,Hard coral,58.2
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 1,Hard coral,28.200000000000003
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 2,Hard coral,41.5
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 3,Hard coral,69.6
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 4,Hard coral,48.2
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 5,Hard coral,61.099999999999994
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 6,Hard coral,40.4
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 7,Hard coral,61.2
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 8,Hard coral,59
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 1,Hard coral,47.4
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 2,Hard coral,28
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 3,Hard coral,23.8
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 4,Hard coral,39.6
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 5,Hard coral,22.8
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 6,Hard coral,53.1
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 7,Hard coral,40.7
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 8,Hard coral,64.7
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 1,Hard coral,42.8
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 2,Hard coral,46.4
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 3,Hard coral,27.3
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 4,Hard coral,42.6
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 5,Hard coral,21.6
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 6,Hard coral,65.60000000000001
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 7,Hard coral,40.3
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 8,Hard coral,16.8
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 1,Hard coral,23.400000000000002
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 2,Hard coral,47.199999999999996
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 3,Hard coral,29.599999999999998
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 4,Hard coral,14
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 5,Hard coral,22.1
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 6,Hard coral,26.900000000000002
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 7,Hard coral,29.8
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 8,Hard coral,24.7
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 3-4 Quadrat 1,Hard coral,56.5
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 3-4 Quadrat 2,Hard coral,32.8
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 3-4 Quadrat 3,Hard coral,16.9
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 3-4 Quadrat 4,Hard coral,12.1
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 3-4 Quadrat 5,Hard coral,24.3
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 3-4 Quadrat 6,Hard coral,30
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 3-4 Quadrat 7,Hard coral,58
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 3-4 Quadrat 8,Hard coral,28.799999999999997
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 4-5 Quadrat 1,Hard coral,16.8
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 4-5 Quadrat 2,Hard coral,42.7
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 4-5 Quadrat 3,Hard coral,19
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 4-5 Quadrat 4,Hard coral,9.8
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 4-5 Quadrat 5,Hard coral,16.8
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 4-5 Quadrat 6,Hard coral,26.5
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 4-5 Quadrat 7,Hard coral,25.9
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 4-5 Quadrat 8,Hard coral,30.4
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 5-6 Quadrat 1,Hard coral,9.799999999999999
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 5-6 Quadrat 2,Hard coral,24.599999999999998
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 5-6 Quadrat 3,Hard coral,6.8
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 5-6 Quadrat 4,Hard coral,12
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 5-6 Quadrat 5,Hard coral,35.5
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 5-6 Quadrat 6,Hard coral,26.2
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 5-6 Quadrat 7,Hard coral,34.3
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 5-6 Quadrat 8,Hard coral,17.6
2006,LTER 3,LTER 3 Outer 10 m Coral Transect Pole 1-2 Quadrat 1,Hard coral,25.7
2006,LTER 3,LTER 3 Outer 10 m Coral Transect Pole 1-2 Quadrat 2,Hard coral,21.5
2006,LTER 3,LTER 3 Outer 10 m Coral Transect Pole 1-2 Quadrat 3,Hard coral,57.5
2006,LTER 3,LTER 3 Outer 10 m Coral Transect Pole 1-2 Quadrat 4,Hard coral,31.6
2006,LTER 3,LTER 3 Outer 10 m Coral Transect Pole 1-2 Quadrat 5,Hard coral,29.099999999999998
2006,LTER 3,LTER 3 Outer 10 m Coral Transect Pole 1-2 Quadrat 6,Hard coral,27.1
2006,LTER 3,LTER 3 Outer 10 m Coral Transect Pole 1-2 Quadrat 7,Hard coral,19.2
2006,LTER 3,LTER 3 Outer 10 m Coral Transect Pole 1-2 Quadrat 8,Hard coral,25.2
2006,LTER 3,LTER 3 Outer 10 m Coral Transect Pole 2-3 Quadrat 1,Hard coral,24.7
2006,LTER 3,LTER 3 Outer 10 m Coral Transect Pole 2-3 Quadrat 2,Hard coral,22.599999999999998
2006,LTER 3,LTER 3 Outer 10 m Coral Transect Pole 2-3 Quadrat 3,Hard coral,33.4
2006,LTER 3,LTER 3 Outer 10 m Coral Transect Pole 2-3 Quadrat 4,Hard coral,20.1
2006,LTER 3,LTER 3 Outer 10 m Coral Transect Pole 2-3 Quadrat 5,Hard coral,25.4
2006,LTER 3,LTER 3 Outer 10 m Coral Transect Pole 2-3 Quadrat 6,Hard coral,56.4
2006,LTER 3,LTER 3 Outer 10 m Coral Transect Pole 2-3 Quadrat 7,Hard coral,61
2006,LTER 3,LTER 3 Outer 10 m Coral Transect Pole 2-3 Quadrat 8,Hard coral,59.6
2006,LTER 3,LTER 3 Outer 10 m Coral Transect Pole 3-4 Quadrat 1,Hard coral,44.400000000000006
2006,LTER 3,LTER 3 Outer 10 m Coral Transect Pole 3-4 Quadrat 2,Hard coral,57.800000000000004
2006,LTER 3,LTER 3 Outer 10 m Coral Transect Pole 3-4 Quadrat 3,Hard coral,47.7
2006,LTER 3,LTER 3 Outer 10 m Coral Transect Pole 3-4 Quadrat 4,Hard coral,41.300000000000004
2006,LTER 3,LTER 3 Outer 10 m Coral Transect Pole 3-4 Quadrat 5,Hard coral,51.4
2006,LTER 3,LTER 3 Outer 10 m Coral Transect Pole 3-4 Quadrat 6,Hard coral,46.3
2006,LTER 3,LTER 3 Outer 10 m Coral Transect Pole 3-4 Quadrat 7,Hard coral,27
2006,LTER 3,LTER 3 Outer 10 m Coral Transect Pole 3-4 Quadrat 8,Hard coral,31.2
2006,LTER 3,LTER 3 Outer 10 m Coral Transect Pole 4-5 Quadrat 1,Hard coral,52.400000000000006
2006,LTER 3,LTER 3 Outer 10 m Coral Transect Pole 4-5 Quadrat 2,Hard coral,45.400000000000006
2006,LTER 3,LTER 3 Outer 10 m Coral Transect Pole 4-5 Quadrat 3,Hard coral,66.2
2006,LTER 3,LTER 3 Outer 10 m Coral Transect Pole 4-5 Quadrat 4,Hard coral,61.8
2006,LTER 3,LTER 3 Outer 10 m Coral Transect Pole 4-5 Quadrat 5,Hard coral,37
2006,LTER 3,LTER 3 Outer 10 m Coral Transect Pole 4-5 Quadrat 6,Hard coral,45.4
2006,LTER 3,LTER 3 Outer 10 m Coral Transect Pole 4-5 Quadrat 7,Hard coral,52.4
2006,LTER 3,LTER 3 Outer 10 m Coral Transect Pole 4-5 Quadrat 8,Hard coral,23
2006,LTER 3,LTER 3 Outer 10 m Coral Transect Pole 5-6 Quadrat 1,Hard coral,34.5
2006,LTER 3,LTER 3 Outer 10 m Coral Transect Pole 5-6 Quadrat 2,Hard coral,41.7
2006,LTER 3,LTER 3 Outer 10 m Coral Transect Pole 5-6 Quadrat 3,Hard coral,52.699999999999996
2006,LTER 3,LTER 3 Outer 10 m Coral Transect Pole 5-6 Quadrat 4,Hard coral,21.2
2006,LTER 3,LTER 3 Outer 10 m Coral Transect Pole 5-6 Quadrat 5,Hard coral,25
2006,LTER 3,LTER 3 Outer 10 m Coral Transect Pole 5-6 Quadrat 6,Hard coral,31.2
2006,LTER 3,LTER 3 Outer 10 m Coral Transect Pole 5-6 Quadrat 7,Hard coral,60.7
2006,LTER 3,LTER 3 Outer 10 m Coral Transect Pole 5-6 Quadrat 8,Hard coral,30.9
2006,LTER 4,LTER 4 Outer 10 m Coral Transect Pole 1-2 Quadrat 1,Hard coral,37.4
2006,LTER 4,LTER 4 Outer 10 m Coral Transect Pole 1-2 Quadrat 2,Hard coral,42.2
2006,LTER 4,LTER 4 Outer 10 m Coral Transect Pole 1-2 Quadrat 3,Hard coral,47.9
2006,LTER 4,LTER 4 Outer 10 m Coral Transect Pole 1-2 Quadrat 4,Hard coral,54.5
2006,LTER 4,LTER 4 Outer 10 m Coral Transect Pole 1-2 Quadrat 5,Hard coral,51.8
2006,LTER 4,LTER 4 Outer 10 m Coral Transect Pole 1-2 Quadrat 6,Hard coral,55.4
2006,LTER 4,LTER 4 Outer 10 m Coral Transect Pole 1-2 Quadrat 7,Hard coral,44.5
2006,LTER 4,LTER 4 Outer 10 m Coral Transect Pole 1-2 Quadrat 8,Hard coral,62.6
2006,LTER 4,LTER 4 Outer 10 m Coral Transect Pole 2-3 Quadrat 1,Hard coral,28.5
2006,LTER 4,LTER 4 Outer 10 m Coral Transect Pole 2-3 Quadrat 2,Hard coral,37.5
2006,LTER 4,LTER 4 Outer 10 m Coral Transect Pole 2-3 Quadrat 3,Hard coral,29
2006,LTER 4,LTER 4 Outer 10 m Coral Transect Pole 2-3 Quadrat 4,Hard coral,46.2
2006,LTER 4,LTER 4 Outer 10 m Coral Transect Pole 2-3 Quadrat 5,Hard coral,28.900000000000002
2006,LTER 4,LTER 4 Outer 10 m Coral Transect Pole 2-3 Quadrat 6,Hard coral,16.3
2006,LTER 4,LTER 4 Outer 10 m Coral Transect Pole 2-3 Quadrat 7,Hard coral,42.1
2006,LTER 4,LTER 4 Outer 10 m Coral Transect Pole 2-3 Quadrat 8,Hard coral,29.3
2006,LTER 4,LTER 4 Outer 10 m Coral Transect Pole 3-4 Quadrat 1,Hard coral,29.9
2006,LTER 4,LTER 4 Outer 10 m Coral Transect Pole 3-4 Quadrat 2,Hard coral,8.4
2006,LTER 4,LTER 4 Outer 10 m Coral Transect Pole 3-4 Quadrat 3,Hard coral,50.9
2006,LTER 4,LTER 4 Outer 10 m Coral Transect Pole 3-4 Quadrat 4,Hard coral,24.2
2006,LTER 4,LTER 4 Outer 10 m Coral Transect Pole 3-4 Quadrat 5,Hard coral,48.2
2006,LTER 4,LTER 4 Outer 10 m Coral Transect Pole 3-4 Quadrat 6,Hard coral,29.8
2006,LTER 4,LTER 4 Outer 10 m Coral Transect Pole 3-4 Quadrat 7,Hard coral,25.8
2006,LTER 4,LTER 4 Outer 10 m Coral Transect Pole 3-4 Quadrat 8,Hard coral,42.6
2006,LTER 4,LTER 4 Outer 10 m Coral Transect Pole 4-5 Quadrat 1,Hard coral,14.2
2006,LTER 4,LTER 4 Outer 10 m Coral Transect Pole 4-5 Quadrat 2,Hard coral,24.5
2006,LTER 4,LTER 4 Outer 10 m Coral Transect Pole 4-5 Quadrat 3,Hard coral,4.3
2006,LTER 4,LTER 4 Outer 10 m Coral Transect Pole 4-5 Quadrat 4,Hard coral,45.1
2006,LTER 4,LTER 4 Outer 10 m Coral Transect Pole 4-5 Quadrat 5,Hard coral,36.7
2006,LTER 4,LTER 4 Outer 10 m Coral Transect Pole 4-5 Quadrat 6,Hard coral,28.400000000000002
2006,LTER 4,LTER 4 Outer 10 m Coral Transect Pole 4-5 Quadrat 7,Hard coral,31.3
2006,LTER 4,LTER 4 Outer 10 m Coral Transect Pole 4-5 Quadrat 8,Hard coral,59.5
2006,LTER 4,LTER 4 Outer 10 m Coral Transect Pole 5-6 Quadrat 2,Hard coral,49.699999999999996
2006,LTER 4,LTER 4 Outer 10 m Coral Transect Pole 5-6 Quadrat 3,Hard coral,40.7
2006,LTER 4,LTER 4 Outer 10 m Coral Transect Pole 5-6 Quadrat 4,Hard coral,39.1
2006,LTER 4,LTER 4 Outer 10 m Coral Transect Pole 5-6 Quadrat 5,Hard coral,10.7
2006,LTER 4,LTER 4 Outer 10 m Coral Transect Pole 5-6 Quadrat 6,Hard coral,39.4
2006,LTER 4,LTER 4 Outer 10 m Coral Transect Pole 5-6 Quadrat 7,Hard coral,16.6
2006,LTER 4,LTER 4 Outer 10 m Coral Transect Pole 5-6 Quadrat 8,Hard coral,23
2006,LTER 5,LTER 5 Outer 10 m Coral Transect Pole 1-2 Quadrat 1,Hard coral,45.6
2006,LTER 5,LTER 5 Outer 10 m Coral Transect Pole 1-2 Quadrat 2,Hard coral,43.4
2006,LTER 5,LTER 5 Outer 10 m Coral Transect Pole 1-2 Quadrat 3,Hard coral,36.5
2006,LTER 5,LTER 5 Outer 10 m Coral Transect Pole 1-2 Quadrat 4,Hard coral,45
2006,LTER 5,LTER 5 Outer 10 m Coral Transect Pole 1-2 Quadrat 5,Hard coral,37.5
2006,LTER 5,LTER 5 Outer 10 m Coral Transect Pole 1-2 Quadrat 6,Hard coral,41
2006,LTER 5,LTER 5 Outer 10 m Coral Transect Pole 1-2 Quadrat 7,Hard coral,17.2
2006,LTER 5,LTER 5 Outer 10 m Coral Transect Pole 1-2 Quadrat 8,Hard coral,32.9
2006,LTER 5,LTER 5 Outer 10 m Coral Transect Pole 2-3 Quadrat 1,Hard coral,52.2
2006,LTER 5,LTER 5 Outer 10 m Coral Transect Pole 2-3 Quadrat 2,Hard coral,72.5
2006,LTER 5,LTER 5 Outer 10 m Coral Transect Pole 2-3 Quadrat 3,Hard coral,66.9
2006,LTER 5,LTER 5 Outer 10 m Coral Transect Pole 2-3 Quadrat 4,Hard coral,47
2006,LTER 5,LTER 5 Outer 10 m Coral Transect Pole 2-3 Quadrat 5,Hard coral,41.300000000000004
2006,LTER 5,LTER 5 Outer 10 m Coral Transect Pole 2-3 Quadrat 6,Hard coral,13.8
2006,LTER 5,LTER 5 Outer 10 m Coral Transect Pole 2-3 Quadrat 7,Hard coral,59
2006,LTER 5,LTER 5 Outer 10 m Coral Transect Pole 2-3 Quadrat 8,Hard coral,21.3
2006,LTER 5,LTER 5 Outer 10 m Coral Transect Pole 3-4 Quadrat 1,Hard coral,58.9
2006,LTER 5,LTER 5 Outer 10 m Coral Transect Pole 3-4 Quadrat 2,Hard coral,48.9
2006,LTER 5,LTER 5 Outer 10 m Coral Transect Pole 3-4 Quadrat 3,Hard coral,42.199999999999996
2006,LTER 5,LTER 5 Outer 10 m Coral Transect Pole 3-4 Quadrat 4,Hard coral,13.5
2006,LTER 5,LTER 5 Outer 10 m Coral Transect Pole 3-4 Quadrat 5,Hard coral,23
2006,LTER 5,LTER 5 Outer 10 m Coral Transect Pole 3-4 Quadrat 6,Hard coral,34.8
2006,LTER 5,LTER 5 Outer 10 m Coral Transect Pole 3-4 Quadrat 7,Hard coral,34.2
2006,LTER 5,LTER 5 Outer 10 m Coral Transect Pole 3-4 Quadrat 8,Hard coral,49.7
2006,LTER 5,LTER 5 Outer 10 m Coral Transect Pole 4-5 Quadrat 1,Hard coral,36.9
2006,LTER 5,LTER 5 Outer 10 m Coral Transect Pole 4-5 Quadrat 2,Hard coral,28
2006,LTER 5,LTER 5 Outer 10 m Coral Transect Pole 4-5 Quadrat 3,Hard coral,31.6
2006,LTER 5,LTER 5 Outer 10 m Coral Transect Pole 4-5 Quadrat 4,Hard coral,25.2
2006,LTER 5,LTER 5 Outer 10 m Coral Transect Pole 4-5 Quadrat 5,Hard coral,37.199999999999996
2006,LTER 5,LTER 5 Outer 10 m Coral Transect Pole 4-5 Quadrat 6,Hard coral,22.6
2006,LTER 5,LTER 5 Outer 10 m Coral Transect Pole 4-5 Quadrat 8,Hard coral,17.6
2006,LTER 5,LTER 5 Outer 10 m Coral Transect Pole 5-6 Quadrat 1,Hard coral,18
2006,LTER 5,LTER 5 Outer 10 m Coral Transect Pole 5-6 Quadrat 2,Hard coral,25.8
2006,LTER 5,LTER 5 Outer 10 m Coral Transect Pole 5-6 Quadrat 3,Hard coral,59.9
2006,LTER 5,LTER 5 Outer 10 m Coral Transect Pole 5-6 Quadrat 4,Hard coral,45.699999999999996
2006,LTER 5,LTER 5 Outer 10 m Coral Transect Pole 5-6 Quadrat 5,Hard coral,56
2006,LTER 5,LTER 5 Outer 10 m Coral Transect Pole 5-6 Quadrat 6,Hard coral,16.1
2006,LTER 5,LTER 5 Outer 10 m Coral Transect Pole 5-6 Quadrat 7,Hard coral,17.2
2006,LTER 5,LTER 5 Outer 10 m Coral Transect Pole 5-6 Quadrat 8,Hard coral,26.1
2006,LTER 6,LTER 6 Outer 10 m Coral Transect Pole 1-2 Quadrat 2,Hard coral,20.7
2006,LTER 6,LTER 6 Outer 10 m Coral Transect Pole 1-2 Quadrat 3,Hard coral,25.4
2006,LTER 6,LTER 6 Outer 10 m Coral Transect Pole 1-2 Quadrat 4,Hard coral,36.1
2006,LTER 6,LTER 6 Outer 10 m Coral Transect Pole 1-2 Quadrat 5,Hard coral,50.3
2006,LTER 6,LTER 6 Outer 10 m Coral Transect Pole 1-2 Quadrat 6,Hard coral,37.800000000000004
2006,LTER 6,LTER 6 Outer 10 m Coral Transect Pole 1-2 Quadrat 7,Hard coral,26.5
2006,LTER 6,LTER 6 Outer 10 m Coral Transect Pole 1-2 Quadrat 8,Hard coral,73
2006,LTER 6,LTER 6 Outer 10 m Coral Transect Pole 2-3 Quadrat 1,Hard coral,72.7
2006,LTER 6,LTER 6 Outer 10 m Coral Transect Pole 2-3 Quadrat 2,Hard coral,31.8
2006,LTER 6,LTER 6 Outer 10 m Coral Transect Pole 2-3 Quadrat 3,Hard coral,34.3
2006,LTER 6,LTER 6 Outer 10 m Coral Transect Pole 2-3 Quadrat 4,Hard coral,28.900000000000002
2006,LTER 6,LTER 6 Outer 10 m Coral Transect Pole 2-3 Quadrat 5,Hard coral,47.1
2006,LTER 6,LTER 6 Outer 10 m Coral Transect Pole 2-3 Quadrat 6,Hard coral,46.699999999999996
2006,LTER 6,LTER 6 Outer 10 m Coral Transect Pole 2-3 Quadrat 7,Hard coral,27.7
2006,LTER 6,LTER 6 Outer 10 m Coral Transect Pole 2-3 Quadrat 8,Hard coral,18.8
2006,LTER 6,LTER 6 Outer 10 m Coral Transect Pole 3-4 Quadrat 1,Hard coral,50.6
2006,LTER 6,LTER 6 Outer 10 m Coral Transect Pole 3-4 Quadrat 2,Hard coral,18.6
2006,LTER 6,LTER 6 Outer 10 m Coral Transect Pole 3-4 Quadrat 3,Hard coral,33.7
2006,LTER 6,LTER 6 Outer 10 m Coral Transect Pole 3-4 Quadrat 4,Hard coral,35.3
2006,LTER 6,LTER 6 Outer 10 m Coral Transect Pole 3-4 Quadrat 5,Hard coral,48.4
2006,LTER 6,LTER 6 Outer 10 m Coral Transect Pole 3-4 Quadrat 6,Hard coral,27.6
2006,LTER 6,LTER 6 Outer 10 m Coral Transect Pole 3-4 Quadrat 7,Hard coral,43.6
2006,LTER 6,LTER 6 Outer 10 m Coral Transect Pole 3-4 Quadrat 8,Hard coral,38.6
2006,LTER 6,LTER 6 Outer 10 m Coral Transect Pole 4-5 Quadrat 1,Hard coral,24.9
2006,LTER 6,LTER 6 Outer 10 m Coral Transect Pole 4-5 Quadrat 2,Hard coral,30.4
2006,LTER 6,LTER 6 Outer 10 m Coral Transect Pole 4-5 Quadrat 3,Hard coral,38
2006,LTER 6,LTER 6 Outer 10 m Coral Transect Pole 4-5 Quadrat 4,Hard coral,19.2
2006,LTER 6,LTER 6 Outer 10 m Coral Transect Pole 4-5 Quadrat 5,Hard coral,52.5
2006,LTER 6,LTER 6 Outer 10 m Coral Transect Pole 4-5 Quadrat 6,Hard coral,28.3
2006,LTER 6,LTER 6 Outer 10 m Coral Transect Pole 4-5 Quadrat 7,Hard coral,44.5
2006,LTER 6,LTER 6 Outer 10 m Coral Transect Pole 4-5 Quadrat 8,Hard coral,31.5
2006,LTER 6,LTER 6 Outer 10 m Coral Transect Pole 5-6 Quadrat 1,Hard coral,44.800000000000004
2006,LTER 6,LTER 6 Outer 10 m Coral Transect Pole 5-6 Quadrat 2,Hard coral,49
2006,LTER 6,LTER 6 Outer 10 m Coral Transect Pole 5-6 Quadrat 3,Hard coral,22.599999999999998
2006,LTER 6,LTER 6 Outer 10 m Coral Transect Pole 5-6 Quadrat 4,Hard coral,33.199999999999996
2006,LTER 6,LTER 6 Outer 10 m Coral Transect Pole 5-6 Quadrat 5,Hard coral,40.199999999999996
2006,LTER 6,LTER 6 Outer 10 m Coral Transect Pole 5-6 Quadrat 6,Hard coral,8
2006,LTER 6,LTER 6 Outer 10 m Coral Transect Pole 5-6 Quadrat 7,Hard coral,32.1
2006,LTER 6,LTER 6 Outer 10 m Coral Transect Pole 5-6 Quadrat 8,Hard coral,18.4
